ve_ref,value,alt_text,named_entity,pos
1.1.t1,عمر,,,
1.1.t2,الى,,,
1.1.t3,شَيْخْ,,,
1.1.t4,حنته,,,
1.2.t1,سالتنى,سالتني,,
1.2.t2,ان,,,
1.2.t3,اكتب,,,
1.2.t4,الحياتى,الحياتي,,
1.2.t5,انى,انا,,
1.2.t6,لا,,,
1.2.t7,يستطيع,استطيع,,
1.2.t8,ان,,,
1.2.t9,اكتب,,,
1.2.t10,الحياتى,الحياتي,,
1.2.t11,انى,انا,,
1.2.t12,ناشى,ناشيت,,
1.2.t13,كثيرا,,,
1.2.t14,الكلامى,كلامي,,
1.2.t15,مع,,,
1.2.t16,الكلام,,,
1.2.t17,العرب,,,
1.3.t1,انى,انا,,
1.3.t2,لا,,,
1.3.t3,يقرع,اقراء,,
1.3.t4,نحويا,,,
1.3.t5,الا,,,
1.3.t6,قليلا,,,
1.3.t7,لا,,,
1.3.t8,لغويا,,,
1.3.t9,الا,,,
1.3.t10,قليلا,,,
1.4.t1,يا,,,
1.4.t2,اخوتى,,,
1.4.t3,سالتك,,,
1.4.t4,بالله,,,
1.4.t5,لا,,,
1.4.t6,تلومونى,تلوموني,,
1.4.t7,انى,انا,,
1.4.t8,العين,,,
1.4.t9,ضعيف,,,
1.4.t10,الجسد,,,
1.4.t11,كذالك,,,
1.5.t1,اسمى,اسمي,,
1.5.t2,عمر,,NAME,
1.5.t3,ابن,,NAME,
1.5.t4,سيد,,NAME,
1.5.t5,مكان,,,
1.5.t6,مولدى,مولدي,,
1.5.t7,فوت,,PLACE,
1.5.t8,تور,,PLACE,
1.5.t9,بين,,,
1.5.t10,البحرين,,,
1.6.t1,طلب,,,
1.6.t2,العلم,,,
1.6.t3,بند,,,
1.6.t4,وفوت,,,
1.6.t5,شيخ,,NAME,
1.6.t6,يسمى,,NAME,
1.6.t7,محمد,,NAME,
1.6.t8,سيد,,NAME,
1.6.t9,اخوتي,,,
1.6.t10,وشيح,,NAME,
1.6.t11,سليمان,,NAME,
1.6.t12,كمبه,,NAME,
1.6.t13,وشيخ,,NAME,
1.6.t14,جبريل,,NAME,
1.6.t15,عبدل,,NAME,
1.7.t1,انى,انا,,
1.7.t2,يثبت,اثبت,,
1.7.t3,طالب,,,
1.7.t4,العلم,,,
1.7.t5,خمس,,,
1.7.t6,وعشرين,,,
1.7.t7,سنة,,,
1.8.t1,باء,,,
1.8.t2,فى,في,,
1.8.t3,مكاني,,,
1.8.t4,ستة,,,
1.8.t5,سنة,,,
1.9.t1,جأء,,,
1.9.t2,فى,في,,
1.9.t3,بلدنا,,,
1.9.t4,جيش,,,
1.9.t5,كبير,,,
2.1.t1,قتل,,,
2.1.t2,الانسان,,,
2.1.t3,كثيرا,,,
2.1.t4,خذنى,خذني,,
2.1.t5,يمشى,,,
2.1.t6,كبر,,,
2.1.t7,البحر,,,
2.1.t8,باعوا,,,
2.1.t9,فى,,,
2.1.t10,يد,,,
2.1.t11,النصرانى,,,
2.1.t12,في,,,
2.1.t13,استرى,,,
2.1.t14,يمشي,,,
2.1.t15,الى,,,
2.1.t16,الشفينة,,,
2.1.t17,الكبير,,,
2.1.t18,البحر,,,
2.1.t19,الكبير,,,
3.1.t1,يمشي,,,
3.1.t2,فى,,,
3.1.t3,البحر,,,
3.1.t4,الكبير,,,
3.1.t5,شهر,,,
3.1.t6,ونصف,,,
3.1.t7,شهر,,,
3.1.t8,جاء,,,
3.1.t9,في,,,
3.1.t10,المكان,,,
3.1.t11,يسمى,,,
3.1.t12,ذَالُسْتُنْ,,,
3.1.t13,فى,,,
3.1.t14,كلام,,,
3.1.t15,نصرانى,,,
3.1.t16,باعواْ,,,
3.2.t1,اشترى,,,
3.2.t2,رجيل,,,
3.2.t3,صغير,,,
3.2.t4,ضعيفٌ,,,
3.2.t5,سُوءٌ,,,
3.3.t1,يسمى,,,
3.3.t2,ذُونْسِنْ,,,
3.4.t1,كافر,,,
3.4.t2,جدا,,,
3.4.t3,لا,,,
3.4.t4,خافُ,,,
3.4.t5,الله,,,
3.4.t6,شيء,,,
3.4.t7,∵,,,
3.5.t1,انى,,,
3.5.t2,رجل,,,
3.5.t3,صغير,,,
3.5.t4,لا,,,
3.5.t5,يستطيع,,,
3.5.t6,عن,,,
3.5.t7,يعمل,,,
3.5.t8,عملا,,,
3.5.t9,شديدا,,,
3.6.t1,يَفِرٌ,,,
3.6.t2,من,,,
3.6.t3,يد,,,
3.6.t4,ذُونسن,,,
3.7.t1,الى,,,
3.7.t2,شهراء,,,
3.7.t3,يمشى,,,
3.7.t4,الى,,,
3.7.t5,مكان,,,
3.7.t6,يسمى,,,
3.7.t7,فيدل,,,
3.8.t1,رعى,,,
3.8.t2,بيوت,,,
3.9.t1,فى,,,
3.9.t2,شهراء,,,
3.9.t3,ادخل,,,
3.9.t4,فى,,,
3.9.t5,البيوت,,,
3.9.t6,كى,,,
3.9.t7,يصلئ,,,
3.10.t1,رعى,,,
3.10.t2,صبية,,,
3.10.t3,يركب,,,
3.10.t4,الخيل,,,
3.11.t1,صبية,,,
3.11.t2,جاء,,,
3.11.t3,فى,,,
3.11.t4,المكان,,,
3.11.t5,ابوه,,,
3.11.t6,يتكم,,,
3.11.t7,ابوه,,,
3.11.t8,انى,,,
3.11.t9,ارعمئ,,,
3.11.t10,رجل,,,
3.11.t11,سودانى,,,
3.11.t12,فى,,,
3.11.t13,البوت,,,
3.11.t14,الشهر,,,
3.12.t1,رجل,,,
3.12.t2,يسمى,,,
3.12.t3,هنده,,,
3.12.t4,رجل,,,
3.12.t5,اخر,,,
3.12.t6,واحد,,,
3.12.t7,منهمى,,,
3.12.t8,يركب,,,
3.12.t9,الخيل,,,
3.12.t10,مع,,,
3.12.t11,الكلب,,,
3.12.t12,كثير,,,
3.12.t13,اخذنى,,,
3.12.t14,يمشى,,,
3.12.t15,معهم,,,
3.12.t16,اثنا,,,
3.12.t17,عشر,,,
3.12.t18,اميال,,,
3.12.t19,فى,,,
3.12.t20,مكان,,,
3.12.t21,يسمى,,,
3.12.t22,فيدل,,,
3.12.t23,الى,,,
3.12.t24,بيوت,,,
3.12.t25,كبير,,,
3.12.t26,انى,,,
3.12.t27,لا,,,
3.12.t28,يستطيع,,,
3.12.t29,ان,,,
3.12.t30,يخرج,,,
3.13.t1,اثبت,,,
3.13.t2,فى,,,
3.13.t3,بيوت,,,
3.13.t4,الكبير,,,
3.13.t5,يسمئ,,,
3.13.t6,جيل,,,
3.13.t7,فى,,,
3.13.t8,كلام,,,
3.13.t9,نصرانى,,,
3.13.t10,ست,,,
3.13.t11,عشري,,,
3.13.t12,يوم,,,
3.13.t13,وليلة,,,
4.1.t1,فى,,,
4.1.t2,اليوم,,,
4.1.t3,الجمعة,,,
4.1.t4,جأء,,,
4.1.t5,الى,,,
4.1.t6,الكبير,,,
4.1.t7,افتح,,,
4.1.t8,الباب,,,
4.1.t9,البيوت,,,
4.2.t1,رعئ,,,
4.2.t2,رجال,,,
4.2.t3,كثير,,,
4.2.t4,كلهم,,,
4.2.t5,نصرانى,,,
4.3.t1,نادنى,,,
4.3.t2,عير,,,
4.3.t3,اسمك,,,
4.3.t4,عسرعير,,,
4.3.t5,سيد,,,
4.3.t6,؟,,,
4.4.t1,أنى,,,
4.4.t2,لا,,,
4.4.t3,يسمع,,,
4.4.t4,كلام,,,
4.4.t5,النصرانى,,,
4.5.t1,رعئ,,,
4.5.t2,رجل,,,
4.5.t3,يسمئ,,,
4.5.t4,بَابُ,,,
4.5.t5,مَمْفَوَّد,,,
4.5.t6,يتكمنى,,,
4.5.t7,اخرج,,,
4.5.t8,البيوت,,,
4.5.t9,الكبير,,,
4.6.t1,انى,,,
4.6.t2,رضعت,,,
4.6.t3,كثيرا,,,
4.7.t1,يمشى,,,
4.7.t2,معهم,,,
4.7.t3,الى,,,
4.7.t4,مكانهم,,,
4.8.t1,اثبت,,,
4.8.t2,فى,,,
4.8.t3,المكان,,,
4.8.t4,ممد,,,
4.8.t5,اربع,,,
4.8.t6,ليال,,,
4.8.t7,ونهار,,,
4.9.t1,رجل,,,
4.9.t2,يسمئ,,,
4.9.t3,ذيم,,,
4.9.t4,عوين,,,
4.9.t5,جوز,,,
4.9.t6,بنت,,,
4.9.t7,ممفد,,,
4.9.t8,بنسه,,,
4.9.t9,ممفد,,,
4.9.t10,سالتنى,,,
4.9.t11,رضعت,,,
4.9.t12,يمشى,,,
4.9.t13,فى,,,
4.9.t14,المكان,,,
4.9.t15,يسمئ,,,
4.9.t16,بليدن,,,
4.10.t1,نعم,,,
4.10.t2,رضعت,,,
4.10.t3,يمشى,,,
4.10.t4,معهم,,,
4.11.t1,اثبت,,,
4.11.t2,فى,,,
4.11.t3,المكان,,,
4.11.t4,ذيم,,,
4.11.t5,عوين,,,
4.11.t6,الى,,,
4.11.t7,الان,,,
5.1.t1,قبل,,,
5.1.t2,ان,,,
5.1.t3,جاءنى,,,
5.1.t4,في,,,
5.1.t5,اليد,,,
5.1.t6,ذخل,,,
5.1.t7,عوين,,,
5.1.t8,اشترى,,,
5.1.t9,رجل,,,
5.1.t10,يسمئ,,,
5.1.t11,مذل,,,
5.2.t1,جاءنى,,,
5.2.t2,مذل,,,
5.2.t3,سلتنى,,,
5.2.t4,ايمشى,,,
5.2.t5,الى,,,
5.2.t6,مكان,,,
5.2.t7,ذالستن,,,
5.3.t1,انى,,,
5.3.t2,لا,,,
5.3.t3,لا,,,
5.3.t4,لا,,,
5.3.t5,لا,,,
5.3.t6,لا,,,
5.3.t7,لا,,,
5.3.t8,لا,,,
5.3.t9,ان,,,
5.3.t10,يمشى,,,
5.3.t11,فى,,,
5.3.t12,المكان,,,
5.3.t13,ذالستن,,,
5.4.t1,انى,,,
5.4.t2,اثبت,,,
5.4.t3,فى,,,
5.4.t4,اليد,,,
5.4.t5,ذيم,,,
5.4.t6,عوين,,,
6.1.t1,يا,,,
